latitude,longitude,frp,acq_date,confidence,source_region
47.86842,33.44115,2.29,2026-05-15,nominal,Russia_Asia
47.8692,33.44178,3.66,2026-05-15,nominal,Russia_Asia
47.8797,33.39948,1.11,2026-05-15,nominal,Russia_Asia
48.74794,26.60649,0.51,2026-05-15,nominal,Russia_Asia
47.17356,31.75584,0.78,2026-05-15,nominal,Russia_Asia
47.78969,28.95208,1.06,2026-05-15,nominal,Russia_Asia
46.67686,32.67202,0.84,2026-05-15,nominal,Russia_Asia
46.54644,32.56878,1.08,2026-05-15,nominal,Russia_Asia
45.37441,30.92897,1.93,2026-05-15,nominal,Russia_Asia
45.35798,30.90357,1.17,2026-05-15,nominal,Russia_Asia
45.35394,30.90165,1.17,2026-05-15,nominal,Russia_Asia
41.26607,31.42383,1.44,2026-05-15,nominal,Russia_Asia
41.26148,31.4218,1.44,2026-05-15,nominal,Russia_Asia
41.26583,31.42414,1.57,2026-05-15,nominal,Russia_Asia
41.26125,31.4221,1.57,2026-05-15,nominal,Russia_Asia
41.25372,31.41141,1.16,2026-05-15,nominal,Russia_Asia
52.55542,39.59218,1.42,2026-05-15,nominal,Russia_Asia
52.54319,39.63367,2.47,2026-05-15,nominal,Russia_Asia
52.55575,39.57228,5.53,2026-05-15,nominal,Russia_Asia
52.54357,39.61361,1.24,2026-05-15,nominal,Russia_Asia
52.53419,39.62656,3.74,2026-05-15,nominal,Russia_Asia
52.55128,39.5687,5.53,2026-05-15,nominal,Russia_Asia
52.53907,39.61006,1.24,2026-05-15,nominal,Russia_Asia
52.53175,39.63481,3.74,2026-05-15,nominal,Russia_Asia
52.52932,39.64302,0.66,2026-05-15,nominal,Russia_Asia
52.557,39.61771,6.0,2026-05-15,nominal,Russia_Asia
52.56179,39.60109,2.49,2026-05-15,nominal,Russia_Asia
52.54978,39.6427,2.42,2026-05-15,nominal,Russia_Asia
52.55731,39.59751,2.49,2026-05-15,nominal,Russia_Asia
52.54527,39.63916,2.42,2026-05-15,nominal,Russia_Asia
52.55992,39.56937,6.68,2026-05-15,nominal,Russia_Asia
52.55758,39.57749,6.26,2026-05-15,nominal,Russia_Asia
52.54559,39.61896,1.64,2026-05-15,nominal,Russia_Asia
52.54108,39.61543,1.64,2026-05-15,nominal,Russia_Asia
52.53628,39.63202,3.9,2026-05-15,nominal,Russia_Asia
52.54863,39.57028,1.12,2026-05-15,nominal,Russia_Asia
52.5318,39.6284,4.57,2026-05-15,nominal,Russia_Asia
52.5294,39.63667,2.39,2026-05-15,nominal,Russia_Asia
52.90507,40.42568,0.76,2026-05-15,nominal,Russia_Asia
55.48577,28.59922,2.29,2026-05-15,nominal,Russia_Asia
52.55953,39.61584,2.78,2026-05-15,nominal,Russia_Asia
52.55503,39.61231,2.0,2026-05-15,nominal,Russia_Asia
52.55991,39.59575,1.42,2026-05-15,nominal,Russia_Asia
52.55748,39.60401,2.0,2026-05-15,nominal,Russia_Asia
52.54769,39.63721,2.47,2026-05-15,nominal,Russia_Asia
52.56022,39.57588,1.66,2026-05-15,nominal,Russia_Asia
38.74199,26.95196,0.94,2026-05-15,nominal,Russia_Asia
38.73902,26.94603,1.72,2026-05-15,nominal,Russia_Asia
38.73795,26.93131,0.99,2026-05-15,nominal,Russia_Asia
38.73509,26.94453,1.72,2026-05-15,nominal,Russia_Asia
38.45289,27.26377,0.88,2026-05-15,nominal,Russia_Asia
38.42564,27.24911,0.83,2026-05-15,nominal,Russia_Asia
37.25201,30.44062,1.43,2026-05-15,nominal,Russia_Asia
37.36951,27.27853,0.51,2026-05-15,nominal,Russia_Asia
38.74297,26.94744,0.94,2026-05-15,nominal,Russia_Asia
38.74691,26.94889,0.94,2026-05-15,nominal,Russia_Asia
38.75277,26.94141,0.46,2026-05-15,nominal,Russia_Asia
38.75373,26.93694,0.73,2026-05-15,nominal,Russia_Asia
39.09086,27.51305,0.81,2026-05-15,nominal,Russia_Asia
39.86604,26.24537,2.92,2026-05-15,nominal,Russia_Asia
39.60693,27.88023,0.52,2026-05-15,nominal,Russia_Asia
39.89986,28.87068,0.84,2026-05-15,nominal,Russia_Asia
40.78364,29.53337,0.69,2026-05-15,nominal,Russia_Asia
41.01948,28.55373,0.78,2026-05-15,nominal,Russia_Asia
40.78091,29.60414,0.82,2026-05-15,nominal,Russia_Asia
40.75817,29.7597,2.2,2026-05-15,nominal,Russia_Asia
41.79662,26.70433,0.62,2026-05-15,nominal,Russia_Asia
28.33702,30.60885,0.47,2026-05-15,nominal,Russia_Asia
37.36951,27.27853,0.51,2026-05-15,nominal,Northern_and_Central_Africa
37.25201,30.44062,1.43,2026-05-15,nominal,Northern_and_Central_Africa
29.03802,20.78671,8.46,2026-05-15,nominal,Northern_and_Central_Africa
29.23116,19.69676,22.36,2026-05-15,nominal,Northern_and_Central_Africa
29.22776,19.69598,0.86,2026-05-15,nominal,Northern_and_Central_Africa
28.69676,22.37271,2.92,2026-05-15,nominal,Northern_and_Central_Africa
28.69293,22.37174,2.92,2026-05-15,nominal,Northern_and_Central_Africa
28.69188,22.37717,3.09,2026-05-15,nominal,Northern_and_Central_Africa
29.44447,17.9688,1.57,2026-05-15,nominal,Northern_and_Central_Africa
29.44117,17.96811,1.57,2026-05-15,nominal,Northern_and_Central_Africa
28.86968,21.22276,2.45,2026-05-15,nominal,Northern_and_Central_Africa
28.91369,20.96698,0.28,2026-05-15,nominal,Northern_and_Central_Africa
28.91012,20.96612,2.46,2026-05-15,nominal,Northern_and_Central_Africa
28.90472,20.9551,1.29,2026-05-15,nominal,Northern_and_Central_Africa
28.89942,20.96355,0.51,2026-05-15,nominal,Northern_and_Central_Africa
28.82802,21.32325,3.56,2026-05-15,nominal,Northern_and_Central_Africa
28.89228,20.96185,10.28,2026-05-15,nominal,Northern_and_Central_Africa
28.89315,20.95719,10.28,2026-05-15,nominal,Northern_and_Central_Africa
28.88872,20.96099,1.69,2026-05-15,nominal,Northern_and_Central_Africa
29.90622,19.81647,2.93,2026-05-15,nominal,Northern_and_Central_Africa
29.90695,19.81226,2.93,2026-05-15,nominal,Northern_and_Central_Africa
29.90549,19.82068,0.31,2026-05-15,nominal,Northern_and_Central_Africa
29.90283,19.81569,0.59,2026-05-15,nominal,Northern_and_Central_Africa
31.0533,8.03175,1.72,2026-05-15,nominal,Northern_and_Central_Africa
29.21583,21.64174,0.72,2026-05-15,nominal,Northern_and_Central_Africa
29.90888,19.82146,0.31,2026-05-15,nominal,Northern_and_Central_Africa
29.21488,21.64669,0.94,2026-05-15,nominal,Northern_and_Central_Africa
29.18917,21.42833,2.32,2026-05-15,nominal,Northern_and_Central_Africa
36.68182,3.12089,2.28,2026-05-15,nominal,Northern_and_Central_Africa
36.67815,3.11639,0.92,2026-05-15,nominal,Northern_and_Central_Africa
29.78804,17.55677,0.5,2026-05-15,nominal,Northern_and_Central_Africa
29.82316,17.29168,0.76,2026-05-15,nominal,Northern_and_Central_Africa
28.8205,22.25849,2.48,2026-05-15,nominal,Northern_and_Central_Africa
28.83374,22.12851,0.57,2026-05-15,nominal,Northern_and_Central_Africa
28.92554,21.50714,0.5,2026-05-15,nominal,Northern_and_Central_Africa
29.05655,20.78634,4.21,2026-05-15,nominal,Northern_and_Central_Africa
30.41096,19.57868,1.04,2026-05-15,nominal,Northern_and_Central_Africa
29.91035,19.81304,2.93,2026-05-15,nominal,Northern_and_Central_Africa
29.90961,19.81725,2.93,2026-05-15,nominal,Northern_and_Central_Africa
29.0424,20.78297,0.49,2026-05-15,nominal,Northern_and_Central_Africa
28.33702,30.60885,0.47,2026-05-15,nominal,Northern_and_Central_Africa
29.04156,20.78754,0.73,2026-05-15,nominal,Northern_and_Central_Africa
29.7017,6.71272,1.48,2026-05-15,nominal,Northern_and_Central_Africa
27.57266,22.3424,0.55,2026-05-15,nominal,Northern_and_Central_Africa
28.10285,19.25288,0.73,2026-05-15,nominal,Northern_and_Central_Africa
27.98401,19.90239,7.89,2026-05-15,nominal,Northern_and_Central_Africa
28.09946,19.25212,0.61,2026-05-15,nominal,Northern_and_Central_Africa
27.98323,19.90671,2.96,2026-05-15,nominal,Northern_and_Central_Africa
28.12979,18.79044,1.3,2026-05-15,nominal,Northern_and_Central_Africa
28.23543,18.09646,0.59,2026-05-15,nominal,Northern_and_Central_Africa
27.5967,21.61763,1.1,2026-05-15,nominal,Northern_and_Central_Africa
29.10968,9.66565,0.84,2026-05-15,nominal,Northern_and_Central_Africa
28.97507,10.03849,0.75,2026-05-15,nominal,Northern_and_Central_Africa
28.92196,9.74216,2.14,2026-05-15,nominal,Northern_and_Central_Africa
28.92143,9.74745,1.39,2026-05-15,nominal,Northern_and_Central_Africa
28.91685,9.74684,1.39,2026-05-15,nominal,Northern_and_Central_Africa
28.91229,9.74623,9.92,2026-05-15,nominal,Northern_and_Central_Africa
28.86569,9.935,0.4,2026-05-15,nominal,Northern_and_Central_Africa
28.82148,9.90696,1.39,2026-05-15,nominal,Northern_and_Central_Africa
28.7372,9.78558,0.79,2026-05-15,nominal,Northern_and_Central_Africa
28.7367,9.79079,0.5,2026-05-15,nominal,Northern_and_Central_Africa
28.73669,9.78832,1.39,2026-05-15,nominal,Northern_and_Central_Africa
28.73428,9.15317,1.71,2026-05-15,nominal,Northern_and_Central_Africa
28.63614,9.78018,1.15,2026-05-15,nominal,Northern_and_Central_Africa
28.63564,9.78537,1.15,2026-05-15,nominal,Northern_and_Central_Africa
28.63109,9.78476,1.29,2026-05-15,nominal,Northern_and_Central_Africa
28.63555,9.77862,1.03,2026-05-15,nominal,Northern_and_Central_Africa
28.63501,9.7838,3.07,2026-05-15,nominal,Northern_and_Central_Africa
28.68466,7.19056,1.59,2026-05-15,nominal,Northern_and_Central_Africa
28.68435,7.19436,1.59,2026-05-15,nominal,Northern_and_Central_Africa
28.60032,7.25774,1.04,2026-05-15,nominal,Northern_and_Central_Africa
27.92717,9.24857,1.09,2026-05-15,nominal,Northern_and_Central_Africa
27.92251,9.24803,1.09,2026-05-15,nominal,Northern_and_Central_Africa
27.87498,9.25162,4.89,2026-05-15,nominal,Northern_and_Central_Africa
27.93409,8.37239,1.93,2026-05-15,nominal,Northern_and_Central_Africa
27.92916,8.37179,1.93,2026-05-15,nominal,Northern_and_Central_Africa
27.93244,8.37159,2.9,2026-05-15,nominal,Northern_and_Central_Africa
27.72749,9.87704,1.54,2026-05-15,nominal,Northern_and_Central_Africa
27.73803,9.17636,0.82,2026-05-15,nominal,Northern_and_Central_Africa
27.7375,9.18185,0.82,2026-05-15,nominal,Northern_and_Central_Africa
27.73283,9.18123,1.55,2026-05-15,nominal,Northern_and_Central_Africa
27.73554,9.18095,1.57,2026-05-15,nominal,Northern_and_Central_Africa
27.70338,9.17174,1.29,2026-05-15,nominal,Northern_and_Central_Africa
27.5273,9.62347,0.78,2026-05-15,nominal,Northern_and_Central_Africa
26.75668,12.4119,9.9,2026-05-15,nominal,Northern_and_Central_Africa
26.70194,12.4544,1.83,2026-05-15,nominal,Northern_and_Central_Africa
26.7026,12.44928,1.83,2026-05-15,nominal,Northern_and_Central_Africa
26.69882,12.44868,1.83,2026-05-15,nominal,Northern_and_Central_Africa
26.69816,12.45381,1.83,2026-05-15,nominal,Northern_and_Central_Africa
26.57859,12.21091,4.36,2026-05-15,nominal,Northern_and_Central_Africa
26.43252,11.84833,0.58,2026-05-15,nominal,Northern_and_Central_Africa
26.03223,11.97557,1.62,2026-05-15,nominal,Northern_and_Central_Africa
26.03031,11.97898,0.96,2026-05-15,nominal,Northern_and_Central_Africa
27.11788,14.38647,0.27,2026-05-15,nominal,Northern_and_Central_Africa
28.81631,21.28508,3.59,2026-05-15,nominal,Northern_and_Central_Africa
28.81268,21.2842,2.27,2026-05-15,nominal,Northern_and_Central_Africa
28.81384,21.28275,5.65,2026-05-15,nominal,Northern_and_Central_Africa
28.7722,21.42498,1.55,2026-05-15,nominal,Northern_and_Central_Africa
28.71368,21.45171,0.91,2026-05-15,nominal,Northern_and_Central_Africa
28.71002,21.45081,2.98,2026-05-15,nominal,Northern_and_Central_Africa
28.70909,21.45572,1.74,2026-05-15,nominal,Northern_and_Central_Africa
28.71209,21.37965,1.69,2026-05-15,nominal,Northern_and_Central_Africa
28.68162,21.45928,3.12,2026-05-15,nominal,Northern_and_Central_Africa
29.07356,19.06138,9.93,2026-05-15,nominal,Northern_and_Central_Africa
29.07287,19.06544,9.93,2026-05-15,nominal,Northern_and_Central_Africa
29.0702,19.06063,9.93,2026-05-15,nominal,Northern_and_Central_Africa
28.91147,19.77456,5.36,2026-05-15,nominal,Northern_and_Central_Africa
28.90882,19.76948,8.46,2026-05-15,nominal,Northern_and_Central_Africa
28.90805,19.77377,45.23,2026-05-15,nominal,Northern_and_Central_Africa
30.3888,7.90523,0.47,2026-05-15,nominal,Northern_and_Central_Africa
28.37339,21.9411,1.32,2026-05-15,nominal,Northern_and_Central_Africa
28.97506,17.46674,0.12,2026-05-15,nominal,Northern_and_Central_Africa
28.03162,22.29453,0.86,2026-05-15,nominal,Northern_and_Central_Africa
27.98932,22.32429,0.73,2026-05-15,nominal,Northern_and_Central_Africa
27.98545,22.32333,10.1,2026-05-15,nominal,Northern_and_Central_Africa
27.94514,22.38285,1.34,2026-05-15,nominal,Northern_and_Central_Africa
28.82533,17.38576,0.59,2026-05-15,nominal,Northern_and_Central_Africa
27.94611,22.38205,1.34,2026-05-15,nominal,Northern_and_Central_Africa
28.15834,21.22322,0.7,2026-05-15,nominal,Northern_and_Central_Africa
28.45362,19.52144,0.75,2026-05-15,nominal,Northern_and_Central_Africa
27.81415,22.43444,3.5,2026-05-15,nominal,Northern_and_Central_Africa
27.81026,22.43346,1.8,2026-05-15,nominal,Northern_and_Central_Africa
28.20738,19.9132,1.18,2026-05-15,nominal,Northern_and_Central_Africa
28.58309,17.32977,2.6,2026-05-15,nominal,Northern_and_Central_Africa
28.57979,17.3291,2.6,2026-05-15,nominal,Northern_and_Central_Africa
27.6547,22.48218,0.73,2026-05-15,nominal,Northern_and_Central_Africa
27.64629,22.50383,5.3,2026-05-15,nominal,Northern_and_Central_Africa
27.64686,22.4802,8.04,2026-05-15,nominal,Northern_and_Central_Africa
27.64236,22.50286,5.3,2026-05-15,nominal,Northern_and_Central_Africa
27.64349,22.49718,4.37,2026-05-15,nominal,Northern_and_Central_Africa
28.05827,19.91025,0.92,2026-05-15,nominal,Northern_and_Central_Africa
28.05481,19.90946,9.72,2026-05-15,nominal,Northern_and_Central_Africa
28.05404,19.91381,3.63,2026-05-15,nominal,Northern_and_Central_Africa
27.58113,22.40341,14.09,2026-05-15,nominal,Northern_and_Central_Africa
29.70201,6.70854,1.48,2026-05-15,nominal,Northern_and_Central_Africa
13.12207,25.34695,1.1,2026-05-15,nominal,Northern_and_Central_Africa
14.1332,23.01252,0.39,2026-05-15,nominal,Northern_and_Central_Africa
13.5524,24.36802,3.26,2026-05-15,nominal,Northern_and_Central_Africa
13.54662,24.36678,3.26,2026-05-15,nominal,Northern_and_Central_Africa
13.11589,25.3456,1.1,2026-05-15,nominal,Northern_and_Central_Africa
15.56949,11.31631,2.37,2026-05-15,nominal,Northern_and_Central_Africa
15.57009,11.31222,1.31,2026-05-15,nominal,Northern_and_Central_Africa
15.56595,11.31575,2.37,2026-05-15,nominal,Northern_and_Central_Africa
15.56293,11.33624,1.54,2026-05-15,nominal,Northern_and_Central_Africa
15.56172,11.34442,1.86,2026-05-15,nominal,Northern_and_Central_Africa
15.56111,11.34851,1.28,2026-05-15,nominal,Northern_and_Central_Africa
15.56077,11.27722,1.44,2026-05-15,nominal,Northern_and_Central_Africa
13.46856,22.20676,1.0,2026-05-15,nominal,Northern_and_Central_Africa
14.92105,1.92636,1.5,2026-05-15,nominal,Northern_and_Central_Africa
14.91522,1.92054,4.44,2026-05-15,nominal,Northern_and_Central_Africa
14.91469,1.92569,1.5,2026-05-15,nominal,Northern_and_Central_Africa
14.91901,1.92589,2.08,2026-05-15,nominal,Northern_and_Central_Africa
14.91321,1.92008,2.08,2026-05-15,nominal,Northern_and_Central_Africa
14.91265,1.92522,2.08,2026-05-15,nominal,Northern_and_Central_Africa
13.27931,13.8687,1.09,2026-05-15,nominal,Northern_and_Central_Africa
13.27874,13.87223,1.78,2026-05-15,nominal,Northern_and_Central_Africa
12.37753,18.49741,1.28,2026-05-15,nominal,Northern_and_Central_Africa
11.36414,23.48227,5.95,2026-05-15,nominal,Northern_and_Central_Africa
11.35841,23.48128,1.75,2026-05-15,nominal,Northern_and_Central_Africa
12.94138,14.44884,2.81,2026-05-15,nominal,Northern_and_Central_Africa
12.89151,14.14996,8.03,2026-05-15,nominal,Northern_and_Central_Africa
12.88819,14.1494,8.03,2026-05-15,nominal,Northern_and_Central_Africa
12.88761,14.15296,8.03,2026-05-15,nominal,Northern_and_Central_Africa
12.88429,14.1524,29.68,2026-05-15,nominal,Northern_and_Central_Africa
12.26542,17.01766,0.7,2026-05-15,nominal,Northern_and_Central_Africa
12.75721,14.01865,1.71,2026-05-15,nominal,Northern_and_Central_Africa
12.75389,14.0181,1.71,2026-05-15,nominal,Northern_and_Central_Africa
12.75332,14.02165,1.71,2026-05-15,nominal,Northern_and_Central_Africa
11.23994,21.63399,1.47,2026-05-15,nominal,Northern_and_Central_Africa
11.23487,21.633,1.47,2026-05-15,nominal,Northern_and_Central_Africa
11.23684,21.63284,3.12,2026-05-15,nominal,Northern_and_Central_Africa
12.29513,13.39211,0.52,2026-05-15,nominal,Northern_and_Central_Africa
12.36141,12.32158,0.54,2026-05-15,nominal,Northern_and_Central_Africa
11.97566,14.74348,0.51,2026-05-15,nominal,Northern_and_Central_Africa
10.67548,22.04377,0.86,2026-05-15,nominal,Northern_and_Central_Africa
12.32083,12.45079,1.34,2026-05-15,nominal,Northern_and_Central_Africa
13.42022,14.91964,2.26,2026-05-15,nominal,Northern_and_Central_Africa
14.46213,9.63018,0.43,2026-05-15,nominal,Northern_and_Central_Africa
12.50279,23.68868,0.96,2026-05-15,nominal,Northern_and_Central_Africa
