date,fire_count
2026-05-06,984
2026-05-07,1147
2026-05-08,1178
2026-05-09,1026
2026-05-10,1263
2026-05-11,1747
2026-05-12,1061
2026-05-13,1389
2026-05-14,1070
2026-05-15,814
