STATE_NAME,fire_count,avg_frp
Western Australia,88427,9.382291720854495
Northern Territory,42805,7.994460693844177
New South Wales,18295,10.576073244055744
Queensland,11183,5.525341142806044
Victoria,8538,13.572587256968836
Tasmania,2100,16.698747619047616
South Australia,1560,16.81430128205128
Australian Capital Territory,19,8.811052631578947
