date,location_name,pm25
2024-01-18,Brighton,5.722666666666667
2024-01-18,Dandenong,5.12925
2024-01-18,Geelong South,5.286208333333333
2024-01-18,Melbourne CBD,6.1842500000000005
2024-01-18,Melton,3.1626666666666665
2024-01-18,Traralgon,4.736208333333334
2024-01-19,Alphington,4.968375
2024-01-19,Box Hill,3.50675
2024-01-19,Brighton,5.7896086956521735
2024-01-19,Dandenong,3.8956666666666666
2024-01-19,Geelong South,4.118833333333333
2024-01-19,Melbourne CBD,6.761375
2024-01-19,Melton,3.2918333333333334
2024-01-19,Traralgon,2.5274583333333336
2024-01-20,Alphington,4.955333333333334
2024-01-20,Box Hill,3.3182916666666666
2024-01-20,Brighton,5.204208333333333
2024-01-20,Dandenong,3.2108333333333334
2024-01-20,Geelong South,4.75225
2024-01-20,Melbourne CBD,4.310625
2024-01-20,Melton,4.896041666666666
2024-01-20,Traralgon,5.114791666666667
2024-01-21,Alphington,5.648458333333333
2024-01-21,Box Hill,6.192916666666667
2024-01-21,Brighton,6.676916666666667
2024-01-21,Dandenong,6.73825
2024-01-21,Geelong South,4.4467083333333335
2024-01-21,Melbourne CBD,8.672041666666667
2024-01-21,Melton,4.595083333333333
2024-01-21,Traralgon,6.2411666666666665
2024-01-22,Alphington,3.442375
2024-01-22,Box Hill,2.6005416666666665
2024-01-22,Brighton,3.7757916666666667
2024-01-22,Dandenong,3.3177083333333335
2024-01-22,Geelong South,2.851875
2024-01-22,Melbourne CBD,5.1847916666666665
2024-01-22,Melton,3.233375
2024-01-22,Traralgon,5.827958333333333
2024-01-23,Alphington,4.943208333333334
2024-01-23,Box Hill,3.8762
2024-01-23,Brighton,7.183208333333333
2024-01-23,Dandenong,4.671708333333333
2024-01-23,Geelong South,5.9826250000000005
2024-01-23,Melbourne CBD,7.040875
2024-01-23,Melton,5.360375
2024-01-23,Traralgon,3.3386666666666667
2024-01-24,Alphington,7.15175
2024-01-24,Brighton,8.213333333333333
2024-01-24,Dandenong,6.756958333333333
2024-01-24,Geelong South,5.558
2024-01-24,Melbourne CBD,8.562625
2024-01-24,Melton,5.962958333333333
2024-01-24,Traralgon,7.1567083333333334
2024-01-25,Alphington,7.542416666666667
2024-01-25,Brighton,7.530375
2024-01-25,Dandenong,6.720375
2024-01-25,Geelong South,4.9777499999999995
2024-01-25,Melbourne CBD,8.004125
2024-01-25,Melton,5.365
2024-01-25,Traralgon,6.942333333333333
2024-01-26,Alphington,4.5437916666666665
2024-01-26,Brighton,7.07025
2024-01-26,Dandenong,5.1786666666666665
2024-01-26,Geelong South,4.458541666666667
2024-01-26,Melbourne CBD,6.8412500000000005
2024-01-26,Melton,3.9087916666666667
2024-01-26,Traralgon,5.7595833333333335
2024-01-27,Alphington,6.496708333333333
2024-01-27,Brighton,5.389166666666666
