location_name,month,avg_pm25
Alphington,April,7.191927777777778
Alphington,August,7.596563172043011
Alphington,February,7.258912356321839
Alphington,January,6.103857393307954
Alphington,July,8.295334660774326
Alphington,June,8.897573611111111
Alphington,March,9.087926971326166
Alphington,May,14.001708038837725
Alphington,November,7.433009167764602
Alphington,October,6.137092497556207
Alphington,September,5.337201599326599
Box Hill,April,5.4103899025974025
Box Hill,August,5.771539077532541
Box Hill,December,5.1064784050179215
Box Hill,January,5.169530040957782
Box Hill,July,6.515239823348694
Box Hill,June,6.712687037037037
Box Hill,March,15.243635416666667
Box Hill,May,9.930513440860215
Box Hill,November,5.962079166666666
Box Hill,October,5.172109483775602
Box Hill,September,4.785648334604628
Brighton,April,6.626196722717073
Brighton,August,8.47079204476709
Brighton,December,7.3252320788530465
Brighton,February,7.75347030651341
Brighton,January,6.670772849462366
Brighton,July,8.163531036168132
Brighton,June,7.002428502415459
Brighton,March,9.431850292192612
Brighton,May,11.938349462365592
Brighton,November,8.601860144927537
Brighton,October,7.579901898491557
Brighton,September,6.723287878787879
Dandenong,April,5.32299
Dandenong,August,6.261293010752688
Dandenong,December,5.660032858499525
Dandenong,February,6.752137269600494
Dandenong,January,5.6586638031790555
Dandenong,July,5.8596569705594845
Dandenong,June,5.894977777777778
Dandenong,March,8.403255280717412
Dandenong,May,9.711565860215055
Dandenong,November,6.542554575163399
Dandenong,October,5.75270154889913
Dandenong,September,4.745439722222223
Geelong South,August,5.993262864823349
Geelong South,December,4.690356182795699
Geelong South,February,5.565625432900433
Geelong South,January,5.0926894523779165
Geelong South,July,5.147741935483871
Geelong South,June,5.065545194003527
Geelong South,November,5.588581944444444
Geelong South,October,4.723253440789381
Geelong South,September,3.474876023391813
Macleod,August,4.252563220918866
Macleod,December,3.93729215542522
Macleod,January,4.42
Macleod,July,4.838205400782014
Macleod,June,4.903642550505051
Macleod,May,9.727558333333333
Macleod,November,4.773818055555555
Macleod,October,4.076289025932954
Macleod,September,3.220309294871795
Melbourne CBD,April,7.816166376811594
Melbourne CBD,August,7.73286693548387
Melbourne CBD,December,7.52543817204301
Melbourne CBD,February,8.858449712643678
Melbourne CBD,January,7.644990345340912
Melbourne CBD,July,8.282763196480937
Melbourne CBD,June,7.904969444444444
Melbourne CBD,March,10.51675351780809
Melbourne CBD,May,13.354016098484848
Melbourne CBD,November,8.760364682539683
Melbourne CBD,October,8.080444680249009
Melbourne CBD,September,6.319510227272727
Melton,April,4.845562500000001
Melton,August,4.685134928021955
Melton,December,4.79254603058232
Melton,February,6.278112442022263
Melton,January,4.941992310720701
Melton,July,4.326253176930597
Melton,June,4.057975730994152
Melton,March,6.886630742913001
Melton,May,6.664957258064516
Melton,November,5.404415
Melton,October,4.517075513196481
Melton,September,3.3291121443017953
Traralgon,April,7.037844444444445
Traralgon,August,9.350891129032258
Traralgon,December,6.649555753968254
Traralgon,February,6.669622855239047
Traralgon,January,5.9369292346014495
Traralgon,July,8.479616935483872
Traralgon,June,10.309201131740748
Traralgon,March,8.484537622265533
Traralgon,May,8.835498655913979
Traralgon,November,6.7166184782608696
Traralgon,October,6.181708170413816
Traralgon,September,6.519667845117845
