year,total_fire_count,avg_frp,grid_cells
2014,1272425,11.13905317647627,234
2015,1203988,10.973767409043347,233
2016,794054,9.761651767665402,234
2017,1271409,12.177275279913617,237
2018,1514189,11.543285951857937,234
2019,1634039,11.980686429901462,236
2020,875593,11.035394926638288,235
2021,838605,9.883225940699136,229
2022,817440,10.057897961929928,230
2023,1905263,11.779786459927053,236
2024,1003566,10.575812761691806,233
