year,total_fire_count,avg_frp,grid_cells
2020,875593,11.035394926638288,235
2021,838605,9.883225940699136,229
2022,817440,10.057897961929928,230
2023,1905263,11.779786459927053,236
2024,1003566,10.575812761691806,233
