year,total_fire_count,avg_frp,grid_cells
2014,10486404,10.597118933484182,1244
2015,11619252,10.427339865712584,1255
2016,10366182,10.073944337761581,1238
2017,10658689,10.711649955810957,1262
2018,10277115,10.296261860923634,1233
2019,11281492,10.468646275032075,1238
2020,10190482,10.431686476655344,1227
2021,10447277,10.328434020654369,1240
2022,9326577,9.971443599296931,1246
2023,12708776,10.948497098383037,1292
2024,9577810,10.427394046238113,1132
